Sensor,X,Y,Z
1,-33.911606,18.419006,
3,0,,
2,2.068,-9.308,2.375
0,197.45313,71.578125,12.140625
4,50.34823,,
1,-33.911606,18.419006,
3,0,,
2,2.221,-9.347,2.298
0,198.23438,71.578125,13.09375
4,52.468433,,
1,-33.911606,18.419006,
3,0,,
2,2.451,-9.308,2.183
0,198.73438,70.78125,13.640625
4,51.243465,,
1,-33.911606,18.419006,
3,0,,
2,2.336,-9.308,2.221
0,194.40625,73,9.421875
4,63.739227,,
1,-33.911606,18.419006,
3,0,,
2,1.877,-9.27,2.681
0,188.89063,62.796875,3.8125
4,67.88423,,
1,-33.911606,18.419006,
3,0,,
2,1.8,-8.925,3.754
0,195.25,66.703125,10.359375
4,65.59278,,
1,-33.911606,18.419006,
3,0,,
2,0.957,-9.385,3.869
0,211.65625,56.203125,25.65625
4,63.11855,,
1,-33.911606,18.419006,
3,0,,
2,3.715,-8.619,3.524
0,195.15625,71.53125,10
4,54.035507,,
1,-33.911606,18.419006,
3,0,,
2,1.57,-9.194,2.26
0,189.8125,70.6875,4.59375
4,58.144077,,
1,-33.911606,18.419006,
3,0,,
2,2.298,-9.423,2.911
0,189.26563,60.109375,3.640625
4,50.45852,,
1,-33.911606,18.419006,
3,0,,
2,0.996,-8.389,4.137
0,195.45313,64.015625,9.640625
4,44.98791,,
1,-33.911606,18.419006,
3,0,,
2,1.685,-8.657,4.06
0,195.6875,63.9375,10.109375
4,43.479046,,
1,-33.911606,18.419006,
3,0,,
2,1.8,-8.734,3.945
0,195.48438,63.609375,10.078125
4,45.523216,,
1,-33.911606,18.419006,
3,0,,
2,1.455,-8.772,4.213
0,195.79688,62.015625,10.390625
4,49.591038,,
1,-33.911606,18.419006,
3,0,,
2,1.379,-8.849,3.601
0,190.82813,66.359375,5.765625
4,50.415005,,
1,-33.911606,18.419006,
3,0,,
2,1.992,-8.504,4.137
0,187.70313,69.78125,2.859375
4,48.91739,,
1,-33.911606,18.419006,
3,0,,
2,0.689,-9.117,3.601
0,194.60938,67.21875,9.453125
4,51.354565,,
1,-33.911606,18.419006,
3,0,,
2,-0.153,-9.04,4.328
4,48.03532,,
0,198.4375,62.40625,12.984375
1,-33.911606,18.419006,
3,0,,
2,0.804,-9.04,3.792
0,198.48438,62.296875,12.65625
4,51.341076,,
1,-33.911606,18.419006,
3,0,,
2,0.919,-8.849,4.328
0,197.26563,62.296875,11.40625
4,49.415794,,
1,-33.911606,18.419006,
3,0,,
2,0.881,-8.772,3.677
0,193.76563,65.75,7.8125
4,61.330338,,
1,-33.911606,18.419006,
3,0,,
2,0.574,-9.308,3.907
0,193.60938,64.171875,7.65625
4,47.248737,,
1,-33.911606,18.419006,
3,0,,
2,1.034,-8.964,4.06
0,184.96875,58.703125,-0.53125
4,52.885742,,
1,-33.911606,18.419006,
3,0,,
2,-0.881,-8.427,4.558
0,195.8125,63.40625,10.140625
4,53.300835,,
1,-33.911606,18.419006,
3,0,,
2,2.03,-9.194,3.715
0,193.6875,64.5,9.34375
4,55.29172,,
1,-33.911606,18.419006,
3,0,,
2,1.302,-9.385,3.562
0,192.73438,69.453125,7.953125
4,52.212303,,
1,-33.911606,18.419006,
3,0,,
2,0.306,-8.657,3.562
0,187.26563,69.234375,2.53125
4,61.42543,,
1,-33.911606,18.419006,
3,0,,
2,-1.915,-9.807,5.363
0,182.57813,64.875,-1.890625
4,64.9877,,
1,-33.911606,18.419006,
3,0,,
2,0.268,-8.696,4.137
0,187.09375,79.59375,3.078125
4,66.83905,,
1,-33.911606,18.419006,
3,0,,
2,3.026,-10.573,4.443
0,177.48438,68.625,-7.0625
4,68.026474,,
1,-33.911606,18.419006,
3,0,,
2,0.651,-11.377,6.933
0,189.6875,80.4375,5.40625
4,73.3622,,
1,-33.911606,18.419006,
3,0,,
2,0,-9.462,0.919
0,199.04688,62.5625,13.3125
4,67.8361,,
1,-33.911606,18.419006,
3,0,,
2,0.919,-6.895,5.171
0,155.96875,41.125,-21.5
4,52.7685,,
1,-33.911606,18.419006,
3,25,,
2,-4.328,-5.593,12.756
0,336.70313,-20.84375,-0.109375
4,49.863216,,
3,47,,
2,0.459,2.796,8.734
1,-33.911606,18.419006,
0,320.75,-14.5,-1.4375
4,43.869045,,
1,-33.911606,18.419006,
3,45,,
2,0,2.719,9.155
0,326.28125,-20.453125,2.546875
4,41.73166,,
2,1.187,2.873,9.807
3,39,,
1,-33.911606,18.419006,
0,302,-14.015625,2.875
4,52.33835,,
1,-33.911606,18.419006,
3,33,,
2,0,3.026,9.692
0,57.6875,-18.34375,-16.921875
4,51.12308,,
1,-33.911606,18.419006,
3,61,,
2,-2.758,3.256,7.546
0,118.265625,31.28125,-57.546875
4,55.501537,,
1,-33.911606,18.419006,
3,11,,
2,-7.7,-10.917,-0.153
0,157.14063,61.109375,-25.890625
4,60.23371,,
1,-33.911606,18.419006,
3,0,,
2,-2.451,-9.998,-1.302
0,181.59375,75.171875,-2.78125
4,54.03406,,
1,-33.911606,18.419006,
3,0,,
2,0.076,-8.772,-2.49
0,190.79688,81.96875,6.9375
4,50.986572,,
1,-33.911606,18.419006,
3,0,,
2,-0.038,-10.419,-0.536
0,194.45313,70.84375,10.546875
4,55.093674,,
1,-33.911606,18.419006,
3,0,,
2,1.532,-9.462,-1.8
0,189.125,76.015625,5.328125
4,50.999046,,
1,-33.911606,18.419006,
3,0,,
2,0.651,-9.385,-4.213
0,188.14063,78.6875,5.6875
4,52.028015,,
1,-33.911606,18.419006,
3,0,,
2,-0.306,-9.96,-1.187
0,188.67188,73.3125,5.703125
4,63.526096,,
1,-33.911606,18.419006,
3,0,,
2,-1.225,-12.45,-2.719
0,192.20313,73.1875,9.375
4,60.885372,,
1,-33.911606,18.419006,
3,0,,
2,1.685,-8.542,-2.413
0,190.14063,76.375,7.78125
4,70.28816,,
1,-33.911606,18.419006,
3,0,,
2,5.822,-8.389,-3.524
0,199.04688,72.65625,15.53125
4,66.24693,,
1,-33.911606,18.419006,
3,0,,
2,2.183,-10.228,-4.826
0,196.73438,72.765625,17.1875
4,57.47678,,
1,-33.911606,18.419006,
3,0,,
2,1.532,-9.04,0.536
0,191.84375,82.109375,7.875
4,58.457237,,
1,-33.911606,18.419006,
3,0,,
2,3.179,-10.917,0.191
0,182.78125,84.46875,-1.5
4,60.69982,,
1,-33.911606,18.419006,
3,0,,
2,0.459,-6.895,-1.992
0,178.96875,77.875,-5.8125
4,62.806805,,
1,-33.911606,18.419006,
3,0,,
2,-1.647,-7.585,-0.689
0,197.23438,69.625,12.46875
4,58.3375,,
1,-33.911606,18.419006,
3,0,,
2,-1.532,-8.81,-1.723
0,197.17188,53.71875,10.90625
4,65.888016,,
1,-33.911606,18.419006,
3,0,,
2,5.286,-5.018,-0.612
0,201.21875,58.15625,14.96875
4,63.100273,,
1,-33.911606,18.419006,
3,0,,
2,0.727,-6.129,-5.324
0,177.01563,71.578125,-5.671875
4,68.332756,,
1,-33.911606,18.419006,
3,0,,
2,3.639,-8.044,-2.604
0,192.65625,70.203125,10.65625
4,58.871647,,
1,-33.911606,18.419006,
3,0,,
2,0.191,-10.151,-3.945
0,194.28125,55.515625,6.984375
4,62.88956,,
1,-33.911606,18.419006,
3,0,,
2,3.754,-10.534,-3.869
0,198.375,62.421875,12.28125
4,67.676254,,
1,-33.911606,18.419006,
3,0,,
2,2.911,-6.359,-7.01
0,190.07813,67.59375,4.3125
4,56.958263,,
1,-33.911606,18.419006,
3,0,,
2,-0.536,-8.274,-0.804
0,184.76563,80.53125,3.375
4,67.75982,,
1,-33.911606,18.419006,
3,0,,
2,0.191,-10.113,-3.792
0,183.40625,77.390625,-3.578125
4,66.53395,,
1,-33.911606,18.419006,
3,0,,
2,4.75,-7.853,-3.945
0,191.75,67.21875,6.9375
4,58.157326,,
1,-33.911606,18.419006,
3,0,,
2,0.344,-9.194,-3.447
0,188.6875,64.078125,3.515625
4,51.136486,,
1,-33.911606,18.419006,
3,0,,
2,0.574,-9.079,-4.252
0,194.26563,60.875,9.53125
4,66.75136,,
1,-33.911606,18.419006,
3,0,,
2,2.03,-9.04,-4.213
0,193.75,64.78125,7.21875
4,67.51583,,
1,-33.911606,18.419006,
3,0,,
2,0.153,-9.155,-3.447
0,194.89063,64.015625,7.984375
4,64.43792,,
1,-33.911606,18.419006,
3,0,,
2,2.068,-8.849,-4.711
0,193.79688,63.078125,7.03125
4,56.77939,,
1,-33.911606,18.419006,
3,0,,
2,1.072,-9.117,-4.213
0,192.1875,65.09375,5.640625
4,52.437862,,
1,-33.911606,18.419006,
3,0,,
2,2.106,-8.849,-4.673
0,193.96875,57.984375,6.203125
4,58.741764,,
1,-33.911606,18.419006,
3,0,,
2,1.915,-9.615,-4.137
0,193.10938,65.265625,6.125
4,59.63727,,
1,-33.911606,18.419006,
3,0,,
2,1.762,-9.117,-3.907
0,193.9375,62.65625,6.8125
4,57.230045,,
1,-33.911606,18.419006,
3,0,,
2,2.106,-7.7,-5.171
0,190.8125,68.078125,6.90625
4,64.80676,,
1,-33.911606,18.419006,
3,0,,
2,-0.459,-9.96,-4.673
0,193.51563,54.859375,12.6875
4,62.887142,,
1,-33.911606,18.419006,
3,0,,
2,2.796,-8.274,-1.11
0,184.67188,72.6875,4.984375
4,64.526726,,
1,-33.911606,18.419006,
3,0,,
2,2.03,-8.274,-4.75
0,191.60938,69.65625,10.578125
4,62.61698,,
1,-33.911606,18.419006,
3,0,,
2,0.612,-9.538,-3.256
0,190.4375,56.421875,7.125
4,60.542503,,
1,-33.911606,18.419006,
3,0,,
2,1.877,-8.581,-4.941
0,184.71875,69.359375,0.84375
4,71.3412,,
1,-33.911606,18.419006,
3,0,,
2,-0.344,-9.347,-3.524
0,183.70313,68.984375,-0.109375
4,58.074074,,
1,-33.911606,18.419006,
3,0,,
2,-0.421,-9.577,-3.026
0,181.85938,72.65625,-2.1875
4,65.27595,,
1,-33.911606,18.419006,
3,0,,
2,-0.421,-9.538,-2.911
0,181.82813,72.375,-2.40625
4,46.798664,,
1,-33.911606,18.419006,
3,0,,
2,-0.421,-9.423,-2.911
0,182.04688,72.546875,-2.203125
4,51.43767,,
1,-33.911606,18.419006,
3,0,,
2,-0.306,-8.964,-2.796
0,182.84375,72.984375,-1.734375
4,56.139435,,
1,-33.911606,18.419006,
3,0,,
2,-0.306,-9.002,-2.719
0,180.9375,72.546875,-2.078125
4,52.791893,,
1,-33.911606,18.419006,
3,0,,
2,-0.306,-9.002,-2.796
0,179.4375,72.6875,-2.296875
4,58.31632,,
1,-33.911606,18.419006,
3,0,,
2,-0.498,-9.538,-2.911
0,180.67188,73.40625,-2.421875
4,70.51073,,
1,-33.911606,18.419006,
3,0,,
2,-0.421,-9.538,-2.834
0,180.53125,73.234375,-2.53125
4,48.547916,,
1,-33.911606,18.419006,
3,0,,
2,-0.421,-9.538,-2.796
0,181.10938,69.90625,-1.40625
4,55.122944,,
1,-33.911606,18.419006,
3,0,,
2,-0.804,-9.921,-3.332
0,181.75,70.234375,-1.484375
4,69.03829,,
1,-33.911606,18.419006,
3,0,,
2,-0.153,-10.151,-3.601
0,184.64063,67.15625,0.546875
4,68.704346,,
1,-33.911606,18.419006,
3,0,,
2,0.498,-9.921,-3.601
0,189.76563,62.0625,4.71875
4,70.002335,,
1,-33.911606,18.419006,
3,0,,
2,0.881,-9.079,-4.75
0,191.01563,63.65625,5.625
4,64.4123,,
1,-33.911606,18.419006,
3,0,,
2,0.153,-9.27,-3.945
0,199.59375,64.921875,13.5625
4,62.684742,,
1,-33.911606,18.419006,
3,0,,
2,1.532,-9.615,-3.447
0,189.25,68.5,3.671875
4,52.35234,,
1,-33.911606,18.419006,
3,0,,
2,0.421,-9.347,-3.984
0,199.90625,62.234375,13.015625
4,66.12728,,
1,-33.911606,18.419006,
3,0,,
2,0.191,-9.96,-2.758
0,199.60938,56.984375,14.578125
4,68.26863,,
1,-33.911606,18.419006,
3,0,,
2,2.758,-8.657,-8.696
0,182.9375,68.609375,0.09375
4,71.332794,,
1,-33.911606,18.419006,
3,0,,
2,4.213,-7.661,-3.754
0,182.29688,71,0.765625
4,61.2136,,
1,-33.911606,18.419006,
3,0,,
2,-0.191,-11.109,-5.746
0,196.28125,59.484375,14.109375
4,63.498253,,
1,-33.911606,18.419006,
3,0,,
2,0.612,-9.155,-2.451
0,192.01563,52.671875,10.21875
4,66.901855,,
1,-33.911606,18.419006,
3,0,,
2,4.673,-7.393,-2.643
0,195.95313,59.234375,14.359375
4,70.92154,,
1,-33.911606,18.419006,
3,0,,
2,2.221,-10.036,-10.917
0,189.23438,64.734375,8.140625
4,66.69072,,
2,1.149,-6.512,-3.064
3,0,,
1,-33.911606,18.419006,
